age,gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preferred_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
20-35,Female,6 months to 1 year,Wearable devices,Duo plan,Yes,Duo plan,Podcast,Rap,Morning,Relaxation and stress relief,While Traveling,Playlists,2,Rarely,Sports,None,Well known individuals,Both,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Study Hours, leisure time","recommendations, Others",4,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Ok
20-35,Male,More than 2 years,Smartphone,Individual Plan,Yes,Individual Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Study Hours,"recommendations, Playlists",5,Rarely,Comedy,Story telling,Both,Longer,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Student Plan,Music,Melody,Night,Relaxation and stress relief,Office hours,recommendations,4,Rarely,Educational ,Educational,Both,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,Yes,Individual Plan,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session","recommendations, Others",4,Once a week,Stories ,Story telling,Both,Both,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free,No,Free,Music,Kpop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, leisure time","recommendations, Playlists, Others",4,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,While Traveling,"recommendations, Playlists",4,Rarely,None,Conversational,Both,Shorter,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free,Yes,Student Plan,Music,Pop,Morning,"Uplifting and motivational, Sadness or melancholy",While Traveling,recommendations,5,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,Yes,Student Plan,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,2,Rarely,Comedy,Story telling,Both,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Student Plan,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,None,Story telling,Both,Shorter,Ok
20-35,Female,6 months to 1 year,Smartphone,Individual Plan,Yes,Individual Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time","recommendations, Others",2,Several times a week,Comedy,Conversational,Both,Longer,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Student Plan,Yes,Student Plan,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours,Study Hours, While Traveling, leisure time","Playlists, Radio",3,Never,None,None,None,None,Ok
